Sl.No.,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History
1,ASM/HKN/83D07/2020/2,Assam,Hailakandi,Kukinala slide,Kukinala,24.27,92.5,Debris,Slide,NA
2,AS/HKN/83D11/2020/1,Assam,Hailakandi,Jalnachaura slide,Jalnachaura,24.31,92.56,Debris,Slide,NA
3,AS/HKN/83D10/2020/6,Assam,Hailakandi,Nandagram slide,Nandagram Pt. I,24.32,92.51,Debris,Slide,NA
4,AS/HKN/83D11/2020/4,Assam,Hailakandi,Nishkar slide,Mahapur,24.43,92.55,Debris,Slide,NA
5,AS/KRJ/83D07/2020/1,Assam,Karimganj,Paglacherra slide,PaglacherraPunj,24.44,92.5,Rock,Slide,NA
6,AS/HKN/83D11/2020/3,Assam,Hailakandi,Lalpani slide,NH - 154,24.44,92.56,Debris,Slide,NA
7,AS/HKN/83D11/2020/2,Assam,Hailakandi,Garapunjislide,Telecherra,24.46,92.52,Debris,Slide,NA
8,ASM/HLKD/83D10/2016/58,Assam,Hailakandi,Terracherra Slide,Terracherra area,24.478972,92.682861,Debris,Slide,17 May 2016
9,AS/HKN/83D07/2020/1,Assam,Hailakandi,Maneshwarpur landslide,Maneshwarpur,24.48,92.49,Debris,Slide,NA
10,AS/HKN/83D10/2020/7,Assam,Hailakandi,Kurttathal slide,Nunaikhal,24.51,92.64,Debris,Slide,NA
11,AS/HKN/83D10/2020/4,Assam,Hailakandi,Dholaikhal slide,Inner Line Reserved Forest,24.51,92.75,Rock,Slide,NA
12,AS/CHR/83D14/2020/3,Assam,Cachar,Bishnupur Puniyar Slide,Bishnupur Puniyar,24.51,92.9,Debris,Slide,NA
13,AS/HKN/83D10/2020/5,Assam,Hailakandi,Barthal slide,Bilaipur,24.51,92.71,Debris,Slide,NA
14,ASM/HLKD/83D10/2016/59,Assam,Hailakandi,Lalcherra Slide (Rabinala),"Near Patakhouri Durga Mandir 
Under  Bilaipur Forest Village; 
Lala  Police Station",24.511306,92.693028,Debris,Slide,18 May 2016
15,ASM/HLKD/83D10/2016/60,Assam,Hailakandi,Ramchandi (Koyabasti),Ramchandi area,24.515944,92.540889,Earth,Slide,18 May 2016
16,AS/HKN/83D10/2020/3,Assam,Hailakandi,Dinanathpur slide,Dinanathpur,24.52,92.53,Debris,Slide,NA
17,AS/HKN/83D10/2020/8,Assam,Hailakandi,Lala Chaura Bagan slide,Lala Chaura Bagan,24.53,92.63,Debris,Slide,NA
18,AS/CHR/83D14/2020/4,Assam,Cachar,Raj Nagar Slide,Raj Nagar,24.53,92.84,Debris,Slide,NA
19,AS/CHR/83D14/2020/5,Assam,Cachar,Shymacharanpur slide,Shyamacharanpur,24.53,92.84,Debris,Slide,NA
20,AS/HKN/83D10/2020/11,Assam,Hailakandi,Nubarnapur slide,Lalamukh village,24.54,92.63,Debris,Slide,NA
21,AS/HKN/83D10/2020/1,Assam,Hailakandi,Dwarbond- Bilaipur slide,Dwarbond- Bilaipur road,24.55,92.74,Debris,Slide,NA
22,AS/HKN/83D10/2020/9,Assam,Hailakandi,Purbanakshatila slide 1,Purbanakshatila,24.55,92.75,Debris,Slide,NA
23,AS/HKN/83D10/2020/10,Assam,Hailakandi,Purbanakshatila slide 2,Purbanakshatila,24.55,92.75,Debris,Slide,NA
24,AS/CHR/83D14/2020/2,Assam,Cachar,Maniarkhal Slide,Maniarkhal Pt VII (Tea estate),24.56,92.94,Debris,Slide,NA
25,AS/CAC/83D10/2009-10/AS-1,Assam,Cachar,Palgana slide,"Paglagaon (near Mursabarti) 
under Baghbahar GP part 3",24.57025,92.685,Debris,Slide,02 April 2010
26,AS/CHR/83D14/2020/6,Assam,Cachar,Pruptal slide,Pruptal,24.62,92.83,Debris,Slide,NA
27,AS/CHR/83D14/2020/7,Assam,Cachar,Panibara slide,Panibara,24.62,92.84,Debris,Slide,2019
28,AS/HKN/83D10/2020/2,Assam,Hailakandi,BoroJalenga slide,BoroJalenga,24.63,92.74,Debris,Slide,NA
29,AS/CHR/83D14/2020/1,Assam,Cachar,Bhuban Nagar slide,Bhuban Nagar,24.64,92.98,Debris,Slide,2019
30,ASM/CCR/83H2/2016/66,Assam,Cachar,Khasiapunji slide,Khasiapunji village,24.645417,93.005361,Debris,Slide,31 August 2016
31,ASM/KRGJ/83D06/2016/61,Assam,Karimganj,Rakhalbasti,"Rakhalbasti, near Sonaicherra 
TG. Under Ram Krishna",24.659389,92.497361,Earth,Slide,18 May 2016
32,ASM/HLK/83D10/2020/003,Assam,Hailakandi,Mohanpur Grant Slide 1,"Mohanpur Grant, Hailakandi 
Circle.",24.70364,92.64681,Debris,Slide,02nd June 2020
33,AS/KRM/83D06/2014/01,Assam,Karimganj,Satkaragul,NH-44,24.70619,92.28997,Earth,Flow,NA
34,ASM/HLK/83D10/2020/004,Assam,Hailakandi,Mohanpur Grant Slide 2,"Mohanpur Grant, Hailakandi 
Circle.",24.70656,92.65008,Debris,Slide,02 June 2020
35,AS/KAR/83D06/2009-10/AS-2,Assam,Karimganj,Rongpur slide,Rongpur Village,24.710833,92.481167,Debris,Slide,03 June 2010
36,ASM/CHR/83D14/2020/0002,Assam,Cachar,Govindnagar Slide,"Govindnagar Pt. II, Sonai",24.72192,92.90381,Debris,Slide,05 June 2020
37,ASM/HLK/83D10/2020/005,Assam,Hailakandi,Mohanpur Grant Slide 3,"Mohanpur Grant, Hailakandi 
Circle.",24.73117,92.64739,Debris,Slide,02 June 2020
38,ASM/KGJ/83D05/2020/0008,Assam,Karimganj,Karimpur Slide 2,"Karimpur, Nilam Bazar",24.78002778,92.45372222,Earth,Slide,02 June 2020
39,ASM/KGJ/83D05/2020/007,Assam,Karimganj,Karimpur Slide 1,"Karimpur, Nilam Bazar",24.78380556,92.45563889,Earth,Slide,02 June 2020
40,ASM/HLK/83D09/2020/006,Assam,Hailakandi,Chandipur Grant Slide,"Bowarthar, Chandipur, Algapur 
Circle.",24.79489,92.55506,Debris,Slide,02 June 2020
41,AS/DIM/83C16/2018/27,Assam,Cachar,Lowajuri,NH53,24.795892,93.045425,Debris,Slide,NA
42,AS/DIM/83C16/2018/28,Assam,Cachar,Lalpani,NH53,24.813648,93.073009,Debris,Slide,NA
43,ASM/CHR/83H01/2020/001,Assam,Cachar,Kanakpur Slide,"Kanakpur Pt. III, Lakhipur, 
Joypur",24.92097,93.07306,Earth,Slide,02 June 2020
44,AS/CHR/83D13/2020/9,Assam,Cachar,Haticherra slide,"NH-27(Old NH-54E, Silchar-
Lumding road)",24.93,92.84,Debris,Slide,NA
45,AS/CHR/83D09/2020/8,Assam,Cachar,Borkola Cyan Nagar slide,Borkola Cyan Nagar Natun Basti,24.95,92.73,Debris,Slide,2018
46,AS/CHR/83D13/2020/7,Assam,Cachar,Subong slide,Subong Tea Estate,24.95,92.8,Debris,Slide,NA
47,AS/CHR/83D13/2020/5,Assam,Cachar,Nagadun slide,Nagadun,24.96,92.92,Debris,Slide,NA
48,AS/CHR/83D09/2020/2,Assam,Cachar,Bicrampore slide-1,"Bicrampore Tea Estate, near 
BSF camp",24.96,92.7,Debris,Slide,NA
49,AS/CHR/83D09/2020/3,Assam,Cachar,Bicrampore Slide -2,"Bicrampore Tea Estate, near 
BSF camp",24.96,92.7,Debris,Slide,NA
50,AS/CHR/83D13/2020/4,Assam,Cachar,Guabari slide-2,Guabari (Naku nala),24.96,92.95,Debris,Slide,NA
51,AS/CHR/83D09/2020/1,Assam,Cachar,Sonbari Slide,Sonbari,24.96,92.66,Debris,Slide,NA
52,AS/CHR/83D09/2020/5,Assam,Cachar,Dinonatpur slide,Dinonatpur,24.96,92.66,Debris,Slide,NA
53,AS/CHR/83D13/2020/8,Assam,Cachar,Tikal Nadi,ONGC road,24.96,92.98,Debris,Slide,NA
54,AS/CHR/83D13/2020/1,Assam,Cachar,Balichhara slide-1,"NH-27(Old NH-54E, Silchar-
Lumding road)",24.97,92.76,Debris,Slide,NA
55,AS/CHR/83D09/2020/4,Assam,Cachar,Narainchara grant slide,Narainchara grant,24.97,92.72,Debris,Slide,NA
56,AS/CHR/83D09/2020/6,Assam,Cachar,Narainchora slide-1,Narainchora,24.97,92.72,Debris,Slide,NA
57,AS/CHR/83D09/2020/7,Assam,Cachar,Naraichhora slide-2,Narainchora,24.97,92.72,Debris,Slide,2017
58,AS/CAC/83H01/2018/55,Assam,Cachar,Lailongchara 3,Lailongchara village,24.97228,93.03289,Debris,Slide,NA
59,AS/CAC/83H01/2018/54,Assam,Cachar,Lailongchara 2,Near Lailongchara village,24.97692,93.033,Rock,Fall,NA
60,AS/CAC/83H01/2018/53,Assam,Cachar,Lailongchara 1,NH53,24.97714,93.03344,Debris,Slide,NA
61,AS/CHR/83D13/2020/6,Assam,Cachar,Balichhara slide-3,"NH-27(Old NH-54E, Silchar-
Lumding road)",24.98,92.75,Debris,Slide,NA
62,AS/CHR/83D13/2020/3,Assam,Cachar,Guabari slide-1,Guabari,24.98,92.96,Debris,Slide,NA
63,AS/CHR/83C12/2020/3,Assam,Cachar,Ekala Basti slide,Ekala Basti (Railway line),24.98,92.72,Debris,Slide,NA
64,AS/CHR/83D09/2020/9,Assam,Cachar,Khurkurie slide,Khurkurie,24.99,92.6,Debris,Slide,NA
65,AS/CHR/83D05/2020/2,Assam,Cachar,Tarapur slide,Tarapur,24.99,92.45,Debris,Slide,2016
66,AS/CHR/83D13/2020/2,Assam,Cachar,Balichhara slide-2,"NH-27(Old NH-54E, Silchar-
Lumding road)",24.99,92.75,Debris,Slide,NA
67,AS/CAC/83H01/2018/42,Assam,Cachar,Bara Arkap_1,"Raja Bazaar ΓÇôBara Arkap 
road.",24.993,93.161583,Debris,Slide,NA
68,AS/CAC/83H01/2018/43,Assam,Cachar,Bara Arkap_2,"Raza Bazaar ΓÇôBara Arkap 
Highway.",24.99561,93.16261,Debris,Slide,NA
69,AS/CHR/83D05/2020/1,Assam,Cachar,Natanpur slide,Natanpur,25,92.43,Debris,Slide,NA
70,AS/DIM/83G4/2015/61,Assam,Dima Hasao,Jenam Ghat road,"State Highway, 3 km before 
Jenam Ghat",25.003,93.164,Earth,Slide,NA
71,AS/DIM/83G4/2015/33,Assam,Dima Hasao,Nutan Leikul-6,Nutan Leikul.NH-54,25.008,93.04,Earth,Slide,2014
72,AS/CHR/83C12/2020/5,Assam,Cachar,New Jatinga slide,"NH-27(Old NH-54E, Silchar-
Lumding road)",25.01,92.75,Debris,Slide,NA
73,AS/CHR/83C12/2020/6,Assam,Cachar,NH -27 slide 2,"NH-27(Old NH-54E, Silchar-
Lumding road)",25.01,92.75,Debris,Slide,NA
74,AS/CHR/83C12/2020/7,Assam,Cachar,NH -27 slide 1,"NH-27(Old NH-54E, Silchar-
Lumding road)",25.01,92.75,Debris,Slide,NA
75,AS/CHR/83C12/2020/4,Assam,Cachar,Jatinga River slide-2,Damchara,25.01,92.73,Debris,Slide,NA
76,AS/DIM/83C16/2017/10,Assam,Dima Hasao,Miyunkro1,NH54,25.010379,92.75482,Debris,Slide,NA
77,AS/DIM/83C16/2017/41,Assam,Dima Hasao,Durbintola4,NH54,25.01856,92.77011,Debris,Slide,NA
78,AS/DIM/83C16/2018/49,Assam,Dima Hasao,Durbintola5,NH53,25.019029,92.770549,Debris,Slide,NA
79,AS/CHR/83C12/2020/1,Assam,Cachar,Bhamai slide-1,Karbi houses(Bhamai river side),25.02,92.52,Debris,Slide,2019
80,AS/CHR/83C12/2020/2,Assam,Cachar,Bhamai slide-2,Karbi Houses (Bhamai river side) 25.02,,92.52,Debris,Slide,2019
81,AS/CAC/83C4/2016/73,Assam,Cachar,0.21 km N of Malidhar,NH44,25.029708,92.463967,Debris,Slide,2015
82,AS/CAC/83C4/2016/74,Assam,Cachar,0.39 km N of Malidhar,NH44,25.031431,92.463231,Debris,Slide,2015
83,AS/CAC/83C4/2016/75,Assam,Cachar,0.48 km N of Malidhar,NH44,25.032119,92.462636,Debris,Slide,2015
84,AS/CAC/83C4/2016/76,Assam,Cachar,0.58 km NW of Malidhar,NH44,25.032989,92.462214,Debris,Slide,2015
85,AS/DIM/83C16/2017/58,Assam,Dima Hasao,Durbintola5,NH54,25.034948,92.778753,Debris,Slide,NA
86,AS/DIM/83C16/2017/40,Assam,Dima Hasao,Durbintola3,NH54,25.0365,92.780417,Debris,Slide,NA
87,MEG/WJH/83C4/2016/45,Assam,Cachar,2 km E of Rathacherra,NH44 (near to weight bridge),25.037203,92.450339,Debris,Slide,2015
88,AS/DIM/83C16/2017/39,Assam,Dima Hasao,Durbintola2,NH54,25.039722,92.781889,Debris,Slide,NA
89,AS/DIM/83C16/2017/38,Assam,Dima Hasao,Durbintola1,NH54,25.041083,92.783111,Debris,Slide,NA
90,AS/DIM/83C16/2017/37,Assam,Dima Hasao,Bandarkhal11,NH54,25.046444,92.789667,Debris,Slide,NA
91,AS/DIM/83C16/2017/36,Assam,Dima Hasao,Bandarkhal10,NH54,25.046778,92.790111,Debris,Slide,NA
92,AS/DIM/83C16/2017/25,Assam,Dima Hasao,Bandarkhal9,NH54,25.047417,92.793389,Debris,Slide,NA
93,AS/DIM/83C16/2018/29,Assam,Dima Hasao,Bandarkhal railway slide.,"Between NFR Bridge No. 305 
and Tunnel No. 19 (~2 km SW of 
Bandarkhal Railway Station).",25.04783,92.78931,Debris,Slide,NA
94,AS/DIM/83C16/2017/24,Assam,Dima Hasao,Bandarkhal8,NH54,25.049417,92.796722,Debris,Slide,NA
95,AS/DIM/83C16/2017/23,Assam,Dima Hasao,Bandarkhal7,NH54,25.049444,92.79725,Soil,Slide,NA
96,AS/DIM/83C16/2017/22,Assam,Dima Hasao,Bandarkhal7,NH54,25.049917,92.799667,Rock cum debris,Slide,NA
97,AS/DIM/83C16/2017/21,Assam,Dima Hasao,Bandarkhal6,NH54,25.054917,92.800333,Soil,Slide,NA
98,AS/DIM/83C16/2017/20,Assam,Dima Hasao,Bandarkhal5,NH54,25.056611,92.801722,Debris,Slide,NA
99,AS/DIM/83C16/2017/18,Assam,Dima Hasao,Bandarkhal3,NH54,25.060088,92.807089,Debris,Slide,NA
100,AS/DIM/83C16/2017/19,Assam,Dima Hasao,Bandarkhal4,NH54,25.060944,92.80675,Debris,Slide,NA
101,AS/DIM/83C16/2017/15,Assam,Dima Hasao,Paschim Bandarkhla3,West of Paschim Bandarkhal,25.061375,92.795906,Debris,Slide,NA
102,AS/DIM/83C16/2017/17,Assam,Dima Hasao,Bandarkhal2,NH54,25.061417,92.806833,Debris,Slide,NA
103,AS/DIM/83C16/2017/13,Assam,Dima Hasao,Paschim Bandarkhla1,West of Paschim Bandarkhal,25.061847,92.79345,Debris,Slide,NA
104,AS/DIM/83C16/2017/14,Assam,Dima Hasao,Paschim Bandarkhla2,West of Paschim Bandarkhal,25.063378,92.795536,Debris,Slide,NA
105,AS/DIM/83C16/2017/12,Assam,Dima Hasao,Bandarkhal1,NH54,25.063472,92.807796,Debris,Slide,NA
106,AS/DIH/83G08/2020/33,Assam,Dima Hasao,,"Data taken from P. Songkai to 
Natun Songkai road",25.07,93.29,Debris,Slide,NA
107,AS/DIM/83C16/2017/16,Assam,Dima Hasao,Paschim Bandarkhla4,North of Paschim Bandarkhal,25.072636,92.794514,Soil,Slide,NA
108,AS/DIM/83C16/2017/11,Assam,Dima Hasao,Kayang1,NH54,25.073228,92.814734,Debris,Slide,NA
109,AS/DIM/83C16/2017/09,Assam,Dima Hasao,Duiheng2,Old HaflongSilchar road,25.078935,92.95379,Debris,Slide,NA
110,AS/DIM/83C16/2017/08,Assam,Dima Hasao,Duiheng1,Old HaflongSilchar road,25.088389,92.958944,Debris,Slide,NA
111,AS/DIH/83G08/2020/31,Assam,Dima Hasao,,"P. Songkai to Natun Songkai 
road",25.1,93.28,Rock,Slide,NA
112,AS/DIH/83G08/2020/32,Assam,Dima Hasao,,"P. Songkai to Natun Songkai 
road",25.1,93.28,Rock,Slide,NA
113,AS/DIH/83G08/2020/36,Assam,Dima Hasao,,"P. Songkai to Natun Songkai 
road",25.1,93.28,Debris,Slide,NA
114,AS/DIM/83C16/2017/06,Assam,Dima Hasao,Retzawl5,Old HaflongSilchar road,25.10275,92.986944,Debris,Slide,NA
115,AS/DIM/83C16/2017/07,Assam,Dima Hasao,Retzawl6,Old HaflongSilchar road,25.10292,92.986883,Rock cum debris,Slide,NA
116,AS/DIM/83C16/2017/01,Assam,Dima Hasao,Retzawl1,NH54,25.105414,92.972784,Debris,Slide,NA
117,AS/DIM/83G4/2015/14,Assam,Dima Hasao,Silchar road,NH-54 near Jatinga,25.106,93.001,Earth,Slide,NA
118,AS/DIM/83C16/2017/02,Assam,Dima Hasao,Retzawl2,Old HaflongSilchar road,25.106956,92.991363,Debris,Slide,NA
119,AS/DIM/83G4/2015/13,Assam,Dima Hasao,Silchar road,NH-54 near Jatinga,25.107,93.002,Earth,Slide,NA
120,AS/DIM/83C16/2017/31,Assam,Dima Hasao,Bara Mulkai sinking zone.,NH54,25.107546,92.885543,Debris,Slide,NA
121,AS/DIM/83G4/2015/15,Assam,Dima Hasao,Silchar road,NH-54 near Jatinga,25.108,93.003,Earth,Slide,NA
122,AS/DIM/83C16/2017/03,Assam,Dima Hasao,Retzawl3,NH54,25.108759,92.978048,Debris,Slide,NA
123,AS/DIM/83C16/2017/04,Assam,Dima Hasao,Retzawl4,West of Retzawl,25.108806,92.975139,Debris,Slide,NA
124,AS/DIM/83C16/2017/34,Assam,Dima Hasao,Chhota Kapurchhara1 slide.,NH54,25.108877,92.929125,Soil,Slide,NA
125,AS/DIM/83C16/2017/33,Assam,Dima Hasao,New Harangajao railway station slide.,NH54,25.11219,92.86881,Debris,Slide,NA
126,AS/DIM/83C16/2018/30,Assam,Dima Hasao,Jatinga Lampur railway slide.,"Between Jatinga Lampur 
Railway Station and Harangajao 
Railway Station.",25.11286,92.87756,Soil,Slide,NA
127,AS/DIM/83C16/2017/32,Assam,Dima Hasao,Jatinga Lampur sinking zone.,NH54,25.11297,92.95433,Soil,Slide,NA
128,AS/DIM/83G4/2015/11,Assam,Dima Hasao,Silchar road slide.,NH-54 near Jatinga.,25.118,93.014,Debris,Slide,NA
129,AS/DIM/83G4/2015/16,Assam,Dima Hasao,Silchar road,NH-54 near Jatinga,25.119,93.017,Earth,Slide,NA
130,AS/DIM/83G4/2015/17,Assam,Dima Hasao,Silchar road,NH-54 near Jatinga,25.119,93.018,Earth,Slide,NA
131,AS/DIM/83G4/2015/18,Assam,Dima Hasao,Silchar road,NH-54 near Jatinga,25.12,93.02,Earth,Slide,NA
132,AS/NC/83C16/2009-10/AS-4,Assam,Dima Hasao,Mailongdisa-Harangajao slide,"Between Mailongdisa and 
Harangajao Railway stations. 
CHainage:128.400 km to 
128.600 km",25.121,92.915028,Debris,Slide,20 June 2010
133,AS/DIM/83G4/2015/55,Assam,Dima Hasao,Bara Wapu,"Bara Wapu,  NH-54",25.122,93.025,Earth,Slide,2014
134,AS/DIM/83G4/2015/21,Assam,Dima Hasao,Jatinga,Jatinga NH-54,25.122,93.026,Earth,Slide,2014
135,AS/DIM/83G4/2015/19,Assam,Dima Hasao,Jatinga Orange Garden Slide.,"Jatinga,NH-54",25.123,93.034,Earth,Slide,2014
136,AS/DIM/83G4/2015/20,Assam,Dima Hasao,Jatinga slide,Near Jatinga,25.123,93.033,Earth,Slide,2014
137,AS/NC/83C16/2009-10/AS-5,Assam,Dima Hasao,Mailongdisa-Harangajao-2 slide,"Between Mailongdisa and 
Harangajao railway station 
(Chainage: 130.100 Km to 
130.400 Km)",25.124306,92.904278,Debris,Slide,02 April 2010
138,AS/NC/83C16/2009-10/AS-3,Assam,Dima Hasao,Jatinga-Longrangajao slide,"Between Jatinga and 
Longrangajao Railway stations 
(Chainage:120.100 km to 
120.400 km)",25.124583,92.989111,Debris,Slide,16 June 2010
139,AS/DIM/83C16/2017/35,Assam,Dima Hasao,Longrangajao slide.,Longrangajao village,25.12906,92.97418,Soil,Slide,NA
140,AS/DIH/83G08/2020/17,Assam,Dima Hasao,,"Along Jenam river, Hangrum 
area",25.13,93.27,Debris,Slide,NA
141,AS/DIH/83G08/2020/19,Assam,Dima Hasao,,"Data recorded from Hangrum to 
Songkai road",25.13,93.29,Debris,Slide,NA
142,AS/DIM/83G4/2015/65,Assam,Dima Hasao,Nutan Leikul-Kelelo  Sinking zone,On NH-54,25.134,93.045,Earth,Slide,2014
143,ASM/DH/83G4/2016/19,Assam,Dima Hasao,Jatinga-2,"Jatinga, Haflong",25.134472,93.018972,Rock cum Debris,Slide,2016
144,AS/DIM/83G4/2015/27,Assam,Dima Hasao,Kelelo slide-1,NH-54 Near Kelolo village,25.135,93.04,Earth,Slide,2014
145,AS/DIM/83G4/2015/32,Assam,Dima Hasao,Nutan Leikul-5,Nutan Leikul.NH-54,25.135,93.04,Earth,Slide,2014
146,AS/DIM/83G4/2015/36,Assam,Dima Hasao,Kelelo-4,Kelelo NH-54,25.136,93.04,Earth,Slide,2014
147,AS/DIM/83G4/2015/29,Assam,Dima Hasao,NutanLeikul-2,"NutanLeikul, NH-54",25.137,93.04,Earth,Slide,2014
148,AS/DIM/83G4/2015/34,Assam,Dima Hasao,Kelelo -2,"Kelelo village,NH-54",25.137,93.034,Earth,Flow,2014
149,AS/DIM/83G4/2015/35,Assam,Dima Hasao,Kelelo-3,"Kelelo,NH-54",25.137,93.04,Earth,Slide,2014
150,AS/DIM/83G4/2015/22,Assam,Dima Hasao,Jatinga slide,"Jatinga, NH-54",25.137,93.018,Earth,Slide,2014
151,AS/DIM/83G4/2015/56,Assam,Dima Hasao,Bara Haflong,"Bara Haflong,village.",25.139,93.025,Earth,Slide,2014
152,AS/DIM/83G4/2015/58,Assam,Dima Hasao,Bara Haflong-3,"Bara Haflong,Near New Haflong 
RS",25.139,93.025,Earth,Slide,NA
153,AS/DIM/83G4/2015/30,Assam,Dima Hasao,NutanLeikul-3,"Nutan.Leikul,NH-54",25.139,93.04,Earth,Slide,2014
154,ASM/DH/83G4/2016/18,Assam,Dima Hasao,Jatinga-Haflong Road section-1,"Jatinga-Haflong Road section, 
Haflong",25.139611,93.019556,Rock cum Debris,Slide,2016
155,AS/DIH/83G08/2020/20,Assam,Dima Hasao,,Below Hangrum village.,25.14,93.31,Debris,Slide,NA
156,AS/DIH/83G08/2020/30,Assam,Dima Hasao,,Hangrum village,25.14,93.3,Debris,Slide,2018
157,ASM/DH/83G4/2016/17,Assam,Dima Hasao,"Near and below Assam rifles camp, 
Boro Haflong-3","Boro Haflong, Haflong",25.140417,93.020389,Debris,Slide,2014
158,AS/DIM/83G4/2015/28,Assam,Dima Hasao,Nutan Leikul-1,"Nutan Leikul, NH-54",25.142,93.04,Earth,Slide,2014
159,AS/DIM/83G4/2015/31,Assam,Dima Hasao,Nutan Leikul-4,"Nutan Leikul,NH-54",25.142,93.04,Earth,Slide,2014
160,AS/DIM/83G4/2015/49,Assam,Dima Hasao,Thingbhung,Near Thingbhung village,25.145,93.158,Earth,Slide,NA
161,ASM/DH/83G4/2016/44,Assam,Dima Hasao,New Haflong R. S slide(3),New Haflong Railway Station,25.14525,93.029167,Debris,Slide,2016
162,ASM/DH/83G4/2016/16,Assam,Dima Hasao,"Vidya Mandir, Boro Haflong-2","Boro Haflong, Haflong",25.145861,93.024194,Rock cum Debris,Slide,2016
163,AS/DH/83C16/2018/002,Assam,Dima Hasao,Jatinga Lampur landslide.,"Between Jatinga Lampur 
Railway Station and Harangajao 
Railway Station.",25.146306,93.942167,Debris,Slide,14 June 2018
164,ASM/DH/83G4/2016/02,Assam,Dima Hasao,New Haflong R. S slide(1),"West slope of New Haflong 
Railway Station.",25.146778,93.030972,Rock cum Debris,Slide,2016
165,ASM/DH/83G4/2016/43,Assam,Dima Hasao,New Haflong R.S. slide - (2),New Haflong Railway Station,25.148722,93.031917,Debris,Slide,2016
166,AS/DIH/83G08/2020/21,Assam,Dima Hasao,,"Data recorded from Hejaichak 
to Hangrum road",25.15,93.37,Debris,Slide,NA
167,ASM/DH/83G4/2016/15,Assam,Dima Hasao,Boro Haflong-1,"Near Boro Haflong village, 
Haflong",25.150694,93.025833,Debris,Slide,2016
168,AS/DIM/83G4/2015/41,Assam,Dima Hasao,Pura slide.-2,Near Pura village,25.155,93.067,Earth,Slide,2014
169,AS/DIM/83G4/2015/42,Assam,Dima Hasao,"Pura,NH-54",Pura,25.155,93.067,Earth,Slide,2014
170,AS/DIM/83G4/2015/26,Assam,Dima Hasao,Pura slide.,"NH-54,Near Pura village",25.155,93.073,Earth,Slide,2014
171,ASM/DH/83G4/2016/25,Assam,Dima Hasao,Mahadev Tila slide-2,Haflong town,25.155611,93.022222,Debris,Slide,2016
172,ASM/DH/83G4/2016/24,Assam,Dima Hasao,Mahadev Tilla-1,"Mahadev Tilla, Haflong",25.155722,93.022778,Earth,Slide,2016
173,AS/DIM/83G4/2015/57,Assam,Dima Hasao,Bara Haflong,"Bara Haflong,Near New Haflong 
RS",25.156,93.018,Earth,Slide,2014
174,ASM/DH/83G4/2016/27,Assam,Dima Hasao,Haflong-Jatinga road section slide-02,Haflong  town,25.156389,93.018389,Rock cum Debris,Slide,2016
175,ASM/DH/83G4/2016/26,Assam,Dima Hasao,Haflong-Jatinga road section slide-01,Haflong  town,25.156583,93.019611,Rock cum Debris,Slide,2016
176,ASM/DH/83G4/2016/06,Assam,Dima Hasao,G. C. Langthasa High school slide,"Near Mahadev Tila, Haflong",25.156694,93.017667,Debris,Slide,1998
177,AS/DIM/83G4/2015/64,Assam,Dima Hasao,Pura Sinking Zone village,Pura village on NH-54,25.157,93.062,Earth,Slide,2014
178,AS/DIM/83G4/2015/43,Assam,Dima Hasao,Pura-4,"Pura,NH-54",25.157,93.066,Earth,Slide,2014
179,ASM/DH/83G4/2016/29,Assam,Dima Hasao,Haflong-Jatinga road section slide-04,Haflong  town,25.157139,93.017194,Debris,Slide,2016
180,ASM/DH/83G4/2016/28,Assam,Dima Hasao,Haflong-Jatinga road section slide-03,Haflong  town,25.157361,93.016083,Rock cum Debris,Slide,2016
181,ASM/DH/83G4/2016/30,Assam,Dima Hasao,Gadhi Rojai Slide,Haflong  town,25.159333,93.017,Earth,Slide,2016
182,ASM/DH/83G4/2016/14,Assam,Dima Hasao,Songpiang-2,"Songpiang village, Haflong",25.163444,93.023167,Debris,Slide,2016
183,ASM/DH/83G4/2016/42,Assam,Dima Hasao,96 km Migrendisa slide,"96 km, Migrendisa – Haflong rail 
section, near Diyung bridge.",25.164,93.040194,Debris,Slide,2016
184,ASM/DH/83G4/2016/13,Assam,Dima Hasao,Songpiang-1,"Songpiang village, Haflong",25.165639,93.025444,Debris,Slide,2016
185,AS/DIM/83G4/2015/44,Assam,Dima Hasao,Pangmol,Near Pangmol village,25.169,93.155,Earth,Slide,NA
186,AS/DIM/83G4/2015/45,Assam,Dima Hasao,Riao slide,Near Riao village.,25.169,93.156,Earth,Slide,NA
187,AS/DIH/83G08/2020/15,Assam,Dima Hasao,,"Data recorded from Hejaichak 
to Hangrum road",25.17,93.36,Rock,Slide,NA
188,AS/DIH/83G08/2020/46,Assam,Dima Hasao,,"Along Jenam river, Laisong area",25.17,93.29,Debris,Slide,NA
189,ASM/DH/83G4/2016/12,Assam,Dima Hasao,"Huonveng, N.D Raji-3","N.D Raji (Hmar)village, Haflong",25.171889,93.003944,Debris,Slide,2016
190,ASM/DH/83G4/2016/11,Assam,Dima Hasao,N.D Raji (Hamar)-2,"N.D Raji (Hamar)village, Haflong 25.175056",,93.020417,Debris,Slide,2016
191,ASM/DH/83G4/2016/10,Assam,Dima Hasao,N.D Raji.-1,"N.D Raji village, Haflong",25.175972,93.020167,Debris,Slide,2016
